dwc:stateProvince	dwc:countryCode	dwc:collectionID	dwc:decimalLongitude	dwc:recordedBy	idigbio:uuid	dwc:month	commonname	dwc:collectionCode	dwc:day	taxonid	dwc:decimalLatitude	dwc:occurrenceID	dwc:basisOfRecord	dwc:institutionID	dwc:institutionCode	dwc:year	dwc:scientificName	dwc:continent	dwc:catalogNumber
MICHOACAN DE OCAMPO	MX	7	-100.85	J. Santos Martínez	0a969993-42ce-4e21-8e15-6d253d8cb3da	5		HCIB	8	3752543	19.67528	urn:catalog:CIBNOR:HCIB:2351:37d40aaa40a2a1c543168c830e3c387f	PreservedSpecimen	6	CIBNOR	1986	Heuchera hemsleyana	north america	2351
MICHOACAN DE OCAMPO		168		J. Santos M.	0bd1ba19-4f22-4ab3-9377-ee16dc5348c4	5		CHAP	8	3752543		urn:catalog:UACh:CHAP:16184:905883bca0045fea79525dc201173982	PreservedSpecimen	316	UACh	1986	Heuchera hemsleyana	north america	16184
MICHOACAN DE OCAMPO	MX	546	-101.9402778	A. Martínez L.	49feb18b-9175-474e-9440-9ccbe688fdd5	4		ENCB	10	3752543	19.2602778	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:346fc88e1fca61ea2757af7f076bc510	PreservedSpecimen	2028	ENCB-IPN	1986	Heuchera hemsleyana	north america	NO DISPONIBLE
MICHOACAN DE OCAMPO	MX	256	-100.8533333	J. Santos M.	45af974f-08c7-4155-a352-66d98dd63a39	5		IEB	8	3752543	19.675	urn:catalog:INECOL:IEB:108894:72e2b86f9c177d1998c0dd01132d8833	PreservedSpecimen	1913	INECOL	1986	Heuchera hemsleyana	north america	108894
MICHOACAN DE OCAMPO	MX	256	-100.8175	J. Santos M.	11c6f217-d433-49f5-9953-854898aabdb1	3		IEB	8	3752543	19.8377778	urn:catalog:INECOL:IEB:108898:77177dfefeb7713fad41cb982e348f24	PreservedSpecimen	1913	INECOL	1986	Heuchera hemsleyana	north america	108898
MICHOACAN DE OCAMPO		168		A. Martínez L.	2bf12b00-528e-491f-8c18-fd2806f35913	4		CHAP	10	3752543		urn:catalog:UACh:CHAP:16413:bac323d0ea915eec7558f013e477752d	PreservedSpecimen	316	UACh	1986	Heuchera hemsleyana	north america	16413
MICHOACAN DE OCAMPO	MX	256	-101.9547222	A. Martínez L.	cc2618aa-5385-46af-aca5-1d7978925625	4		IEB	10	3752543	19.6861111	urn:catalog:INECOL:IEB:108895:f7d5672e4434b8a4cde5856b1a114a34	PreservedSpecimen	1913	INECOL	1986	Heuchera hemsleyana	north america	108895
MICHOACAN DE OCAMPO	MX	546	-101.9638889	Zamudio	98bc4125-0495-4a9a-825d-583a4edad006	8		ENCB	15	3752543	19.7577778	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:401e5c732731ed5e2f7cc6e41bd492c1	PreservedSpecimen	2028	ENCB-IPN	1987	Heuchera hemsleyana	north america	NO DISPONIBLE
MICHOACAN DE OCAMPO	MX	256	-101.515	H. Díaz-Barriga	0d2b342a-7757-4b18-8b65-ad385ada4157	5		IEB	24	3752543	19.4333333	urn:catalog:INECOL:IEB:108911:7c7d4da82382ffac91261384809cd830	PreservedSpecimen	1913	INECOL	1985	Heuchera hemsleyana	north america	108911
JALISCO	MX	256	-103.6083333	C.L. Díaz-Luna	67f3e975-7033-4907-977b-4a859164bc75	5		IEB	3	3752543	19.5633333	urn:catalog:INECOL:IEB:108901:01a7113aeef3f11099067a4150cc618a	PreservedSpecimen	1913	INECOL	1972	Heuchera hemsleyana	north america	108901
PUEBLA	MX	46	-97.9008333	P. Tenorio L.; A. Campos V.; G. Torís A.	8753d2c4-f8c1-4902-a134-7737281e4a89	5		MEXU	99	3752543	19.9558333	urn:catalog:IBUNAM:MEXU:659908:7358d5584bdcfe7898a17b44414cce4a	PreservedSpecimen	20	IBUNAM	1996	Heuchera hemsleyana	north america	659908
MICHOACAN DE OCAMPO	MX	546	-100.8816667	J. Santos Martínez	22a748a2-6418-4227-a955-a9be94df286b	5		ENCB	8	3752543	19.8097222	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:b114938598ed213aeddab0d684474390	PreservedSpecimen	2028	ENCB-IPN	1986	Heuchera hemsleyana	north america	NO DISPONIBLE
MICHOACAN DE OCAMPO	MX	168	-102.0086111	S. Zamudio R.	a06af369-69a3-4112-80c4-ba8410e2d522	5		CHAP	8	3752543	19.7130556	urn:catalog:UACh:CHAP:20016:a4c5ff0265da9a4814cdbf5f27938c3c	PreservedSpecimen	316	UACh	1987	Heuchera hemsleyana	north america	20016
DURANGO	MX	168	-106.0741667	A. Benítez P.	333b8f19-c3a3-4009-b081-94bcbf6af929	10		CHAP	4	3752543	24.7725	urn:catalog:UACh:CHAP:28795:bbc064f72f55bbcc7f3c44c3135a1eeb	PreservedSpecimen	316	UACh	1990	Heuchera hemsleyana	north america	28795
